rank,id,round,score,exact,under,over,extremeOver,totalOnsets,parameters
197,r006-0038-6d845888,6,280,6,2,2,0,114,"{""relativeReattackFactor"":3.528159,""relativeReattackMinDelta"":0.016156,""relativeFluxFactor"":1.903907,""spectralNoveltyRatio"":3.117068,""spectralNoveltyMinBins"":49,""cooldownFrames"":5,""cooldownOverrideFactor"":2.49556,""cooldownOverrideMinFlux"":0.02694,""cooldownOverrideMinBandRatio"":0.060016,""analyzeIntervalMs"":41}"
198,r006-0039-6f0adfbd,6,280,6,2,2,0,116,"{""relativeReattackFactor"":3.502105,""relativeReattackMinDelta"":0.012593,""relativeFluxFactor"":1.633489,""spectralNoveltyRatio"":3.119301,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.198195,""cooldownOverrideMinFlux"":0.027428,""cooldownOverrideMinBandRatio"":0.061985,""analyzeIntervalMs"":41}"
199,r006-0049-d18ca6dd,6,280,6,2,2,0,116,"{""relativeReattackFactor"":3.598813,""relativeReattackMinDelta"":0.012651,""relativeFluxFactor"":1.498567,""spectralNoveltyRatio"":3.10067,""spectralNoveltyMinBins"":49,""cooldownFrames"":5,""cooldownOverrideFactor"":2.252204,""cooldownOverrideMinFlux"":0.025911,""cooldownOverrideMinBandRatio"":0.065257,""analyzeIntervalMs"":41}"
200,r006-0051-b02f366e,6,280,6,2,2,0,115,"{""relativeReattackFactor"":3.416671,""relativeReattackMinDelta"":0.010823,""relativeFluxFactor"":1.429533,""spectralNoveltyRatio"":3.356197,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.355633,""cooldownOverrideMinFlux"":0.028689,""cooldownOverrideMinBandRatio"":0.071668,""analyzeIntervalMs"":41}"
201,r006-0067-d54a0006,6,280,6,2,2,0,114,"{""relativeReattackFactor"":3.447716,""relativeReattackMinDelta"":0.013005,""relativeFluxFactor"":1.817413,""spectralNoveltyRatio"":2.949916,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.368649,""cooldownOverrideMinFlux"":0.029414,""cooldownOverrideMinBandRatio"":0.057549,""analyzeIntervalMs"":41}"
202,r006-0069-bed2b86e,6,280,6,2,2,0,116,"{""relativeReattackFactor"":3.675506,""relativeReattackMinDelta"":0.011555,""relativeFluxFactor"":1.523234,""spectralNoveltyRatio"":2.947666,""spectralNoveltyMinBins"":48,""cooldownFrames"":5,""cooldownOverrideFactor"":2.529354,""cooldownOverrideMinFlux"":0.027643,""cooldownOverrideMinBandRatio"":0.064219,""analyzeIntervalMs"":41}"
203,r006-0073-d2eee15b,6,280,6,2,2,0,114,"{""relativeReattackFactor"":3.510054,""relativeReattackMinDelta"":0.015992,""relativeFluxFactor"":1.794946,""spectralNoveltyRatio"":2.941751,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.467205,""cooldownOverrideMinFlux"":0.026065,""cooldownOverrideMinBandRatio"":0.06115,""analyzeIntervalMs"":41}"
204,r006-0075-a0a19bc5,6,280,6,2,2,0,115,"{""relativeReattackFactor"":3.528098,""relativeReattackMinDelta"":0.011603,""relativeFluxFactor"":1.95362,""spectralNoveltyRatio"":2.507872,""spectralNoveltyMinBins"":49,""cooldownFrames"":5,""cooldownOverrideFactor"":2.76265,""cooldownOverrideMinFlux"":0.027199,""cooldownOverrideMinBandRatio"":0.060262,""analyzeIntervalMs"":41}"
205,r007-0002-c8ab2754,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.570993,""relativeReattackMinDelta"":0.013253,""relativeFluxFactor"":2.063684,""spectralNoveltyRatio"":3.009557,""spectralNoveltyMinBins"":48,""cooldownFrames"":5,""cooldownOverrideFactor"":2.434818,""cooldownOverrideMinFlux"":0.027937,""cooldownOverrideMinBandRatio"":0.058934,""analyzeIntervalMs"":41}"
206,r007-0004-18ba6116,7,280,6,2,2,0,116,"{""relativeReattackFactor"":3.614341,""relativeReattackMinDelta"":0.012966,""relativeFluxFactor"":1.635157,""spectralNoveltyRatio"":3.085119,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.498867,""cooldownOverrideMinFlux"":0.026546,""cooldownOverrideMinBandRatio"":0.065722,""analyzeIntervalMs"":41}"
207,r007-0014-905b1ca4,7,280,6,2,2,0,117,"{""relativeReattackFactor"":3.443792,""relativeReattackMinDelta"":0.011367,""relativeFluxFactor"":1.542595,""spectralNoveltyRatio"":2.822033,""spectralNoveltyMinBins"":48,""cooldownFrames"":5,""cooldownOverrideFactor"":2.359454,""cooldownOverrideMinFlux"":0.028384,""cooldownOverrideMinBandRatio"":0.065019,""analyzeIntervalMs"":41}"
208,r007-0017-5898c34a,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.531552,""relativeReattackMinDelta"":0.014591,""relativeFluxFactor"":1.94435,""spectralNoveltyRatio"":2.741736,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.556611,""cooldownOverrideMinFlux"":0.028743,""cooldownOverrideMinBandRatio"":0.054812,""analyzeIntervalMs"":41}"
209,r007-0020-c6cedd96,7,280,6,2,2,0,115,"{""relativeReattackFactor"":3.534318,""relativeReattackMinDelta"":0.012082,""relativeFluxFactor"":1.898877,""spectralNoveltyRatio"":2.740675,""spectralNoveltyMinBins"":48,""cooldownFrames"":5,""cooldownOverrideFactor"":2.782492,""cooldownOverrideMinFlux"":0.029543,""cooldownOverrideMinBandRatio"":0.059407,""analyzeIntervalMs"":41}"
210,r007-0038-fc22105c,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.710928,""relativeReattackMinDelta"":0.015662,""relativeFluxFactor"":1.964567,""spectralNoveltyRatio"":2.996435,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.632565,""cooldownOverrideMinFlux"":0.02833,""cooldownOverrideMinBandRatio"":0.060517,""analyzeIntervalMs"":41}"
211,r007-0044-af2bf088,7,280,6,2,2,0,117,"{""relativeReattackFactor"":3.452526,""relativeReattackMinDelta"":0.011755,""relativeFluxFactor"":1.602482,""spectralNoveltyRatio"":2.92996,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.386981,""cooldownOverrideMinFlux"":0.026279,""cooldownOverrideMinBandRatio"":0.061796,""analyzeIntervalMs"":41}"
212,r007-0049-37f1d82d,7,280,6,2,2,0,116,"{""relativeReattackFactor"":3.564727,""relativeReattackMinDelta"":0.01314,""relativeFluxFactor"":1.723414,""spectralNoveltyRatio"":2.841628,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.41103,""cooldownOverrideMinFlux"":0.026962,""cooldownOverrideMinBandRatio"":0.064186,""analyzeIntervalMs"":41}"
213,r007-0050-ffe790d8,7,280,6,2,2,0,115,"{""relativeReattackFactor"":3.50771,""relativeReattackMinDelta"":0.012727,""relativeFluxFactor"":1.875435,""spectralNoveltyRatio"":2.533549,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.778599,""cooldownOverrideMinFlux"":0.028583,""cooldownOverrideMinBandRatio"":0.05761,""analyzeIntervalMs"":41}"
214,r007-0053-3b53f0b8,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.553156,""relativeReattackMinDelta"":0.0161,""relativeFluxFactor"":2.099445,""spectralNoveltyRatio"":2.781385,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.58742,""cooldownOverrideMinFlux"":0.027663,""cooldownOverrideMinBandRatio"":0.061714,""analyzeIntervalMs"":41}"
215,r007-0057-5a487abe,7,280,6,2,2,0,115,"{""relativeReattackFactor"":3.50566,""relativeReattackMinDelta"":0.013459,""relativeFluxFactor"":2.047686,""spectralNoveltyRatio"":2.711206,""spectralNoveltyMinBins"":48,""cooldownFrames"":5,""cooldownOverrideFactor"":2.337838,""cooldownOverrideMinFlux"":0.028803,""cooldownOverrideMinBandRatio"":0.054178,""analyzeIntervalMs"":41}"
216,r007-0059-12f8f54f,7,280,6,2,2,0,117,"{""relativeReattackFactor"":3.599843,""relativeReattackMinDelta"":0.012591,""relativeFluxFactor"":1.534323,""spectralNoveltyRatio"":2.823119,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.257233,""cooldownOverrideMinFlux"":0.027748,""cooldownOverrideMinBandRatio"":0.061482,""analyzeIntervalMs"":41}"
217,r007-0062-ce4a892a,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.481525,""relativeReattackMinDelta"":0.013348,""relativeFluxFactor"":2.02474,""spectralNoveltyRatio"":2.956985,""spectralNoveltyMinBins"":49,""cooldownFrames"":5,""cooldownOverrideFactor"":2.449719,""cooldownOverrideMinFlux"":0.027359,""cooldownOverrideMinBandRatio"":0.059581,""analyzeIntervalMs"":41}"
218,r007-0063-f0716ffd,7,280,6,2,2,0,113,"{""relativeReattackFactor"":3.74085,""relativeReattackMinDelta"":0.016966,""relativeFluxFactor"":2.02005,""spectralNoveltyRatio"":3.136426,""spectralNoveltyMinBins"":49,""cooldownFrames"":5,""cooldownOverrideFactor"":2.409382,""cooldownOverrideMinFlux"":0.025874,""cooldownOverrideMinBandRatio"":0.056557,""analyzeIntervalMs"":41}"
219,r007-0067-90cf8a1e,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.560421,""relativeReattackMinDelta"":0.014801,""relativeFluxFactor"":1.929574,""spectralNoveltyRatio"":3.079965,""spectralNoveltyMinBins"":51,""cooldownFrames"":5,""cooldownOverrideFactor"":2.546836,""cooldownOverrideMinFlux"":0.027268,""cooldownOverrideMinBandRatio"":0.055883,""analyzeIntervalMs"":41}"
220,r007-0072-60d8ae14,7,280,6,2,2,0,113,"{""relativeReattackFactor"":3.472606,""relativeReattackMinDelta"":0.014634,""relativeFluxFactor"":2.09439,""spectralNoveltyRatio"":2.933556,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.391733,""cooldownOverrideMinFlux"":0.029058,""cooldownOverrideMinBandRatio"":0.055888,""analyzeIntervalMs"":41}"
221,r007-0077-76fe5a8e,7,280,6,2,2,0,114,"{""relativeReattackFactor"":3.575158,""relativeReattackMinDelta"":0.013776,""relativeFluxFactor"":2.042023,""spectralNoveltyRatio"":2.951937,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.400344,""cooldownOverrideMinFlux"":0.028249,""cooldownOverrideMinBandRatio"":0.057119,""analyzeIntervalMs"":41}"
222,r008-0002-5b6ea538,8,280,6,2,2,0,114,"{""relativeReattackFactor"":3.398361,""relativeReattackMinDelta"":0.011612,""relativeFluxFactor"":1.641551,""spectralNoveltyRatio"":3.505246,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.675332,""cooldownOverrideMinFlux"":0.029421,""cooldownOverrideMinBandRatio"":0.068043,""analyzeIntervalMs"":41}"
223,r008-0010-bfbbfdbe,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.464429,""relativeReattackMinDelta"":0.011372,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.26837,""spectralNoveltyMinBins"":53,""cooldownFrames"":5,""cooldownOverrideFactor"":2.466813,""cooldownOverrideMinFlux"":0.028986,""cooldownOverrideMinBandRatio"":0.070243,""analyzeIntervalMs"":41}"
224,r008-0019-b37bbfad,8,280,6,2,2,0,116,"{""relativeReattackFactor"":3.645704,""relativeReattackMinDelta"":0.00983,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.254233,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.64624,""cooldownOverrideMinFlux"":0.029622,""cooldownOverrideMinBandRatio"":0.07067,""analyzeIntervalMs"":41}"
225,r008-0023-16d04c2a,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.534162,""relativeReattackMinDelta"":0.01047,""relativeFluxFactor"":1.505709,""spectralNoveltyRatio"":3.316636,""spectralNoveltyMinBins"":53,""cooldownFrames"":5,""cooldownOverrideFactor"":2.555487,""cooldownOverrideMinFlux"":0.029853,""cooldownOverrideMinBandRatio"":0.068593,""analyzeIntervalMs"":41}"
226,r008-0029-96670892,8,280,6,2,2,0,116,"{""relativeReattackFactor"":3.593277,""relativeReattackMinDelta"":0.009985,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.184073,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.529403,""cooldownOverrideMinFlux"":0.028723,""cooldownOverrideMinBandRatio"":0.070965,""analyzeIntervalMs"":41}"
227,r008-0033-919926f2,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.39799,""relativeReattackMinDelta"":0.01165,""relativeFluxFactor"":1.416437,""spectralNoveltyRatio"":3.376277,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.524725,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.066548,""analyzeIntervalMs"":41}"
228,r008-0035-f08b708b,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.50823,""relativeReattackMinDelta"":0.011852,""relativeFluxFactor"":1.473416,""spectralNoveltyRatio"":3.152193,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.509748,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070525,""analyzeIntervalMs"":41}"
229,r008-0045-08f1c6a3,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.412505,""relativeReattackMinDelta"":0.011019,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.216962,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.474345,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069529,""analyzeIntervalMs"":41}"
230,r008-0056-199da27a,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.353314,""relativeReattackMinDelta"":0.011405,""relativeFluxFactor"":1.469232,""spectralNoveltyRatio"":3.249763,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.439172,""cooldownOverrideMinFlux"":0.029299,""cooldownOverrideMinBandRatio"":0.063919,""analyzeIntervalMs"":41}"
231,r008-0058-01c1e076,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.379807,""relativeReattackMinDelta"":0.010886,""relativeFluxFactor"":1.425569,""spectralNoveltyRatio"":3.339904,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.411717,""cooldownOverrideMinFlux"":0.029349,""cooldownOverrideMinBandRatio"":0.071637,""analyzeIntervalMs"":41}"
232,r008-0059-012316b8,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.626116,""relativeReattackMinDelta"":0.010204,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.445445,""spectralNoveltyMinBins"":53,""cooldownFrames"":5,""cooldownOverrideFactor"":2.502202,""cooldownOverrideMinFlux"":0.029179,""cooldownOverrideMinBandRatio"":0.068064,""analyzeIntervalMs"":41}"
233,r008-0073-480d132a,8,280,6,2,2,0,116,"{""relativeReattackFactor"":3.487875,""relativeReattackMinDelta"":0.011673,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.513712,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.435145,""cooldownOverrideMinFlux"":0.029098,""cooldownOverrideMinBandRatio"":0.068018,""analyzeIntervalMs"":41}"
234,r008-0075-21ff8404,8,280,6,2,2,0,115,"{""relativeReattackFactor"":3.603971,""relativeReattackMinDelta"":0.011647,""relativeFluxFactor"":1.413383,""spectralNoveltyRatio"":3.303723,""spectralNoveltyMinBins"":53,""cooldownFrames"":5,""cooldownOverrideFactor"":2.500505,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.073995,""analyzeIntervalMs"":41}"
235,r008-0079-59518535,8,280,6,2,2,0,116,"{""relativeReattackFactor"":3.603339,""relativeReattackMinDelta"":0.010171,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.156125,""spectralNoveltyMinBins"":52,""cooldownFrames"":5,""cooldownOverrideFactor"":2.624228,""cooldownOverrideMinFlux"":0.028773,""cooldownOverrideMinBandRatio"":0.068324,""analyzeIntervalMs"":41}"
236,r009-0037-b9f2e3a9,9,280,6,2,2,0,115,"{""relativeReattackFactor"":3.362866,""relativeReattackMinDelta"":0.011803,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.437261,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.601195,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.064907,""analyzeIntervalMs"":41}"
237,r010-0007-85514210,10,280,6,2,2,0,115,"{""relativeReattackFactor"":3.347373,""relativeReattackMinDelta"":0.011012,""relativeFluxFactor"":1.486542,""spectralNoveltyRatio"":3.420615,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.60417,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067698,""analyzeIntervalMs"":41}"
238,r010-0026-1e2c16c8,10,280,6,2,2,0,115,"{""relativeReattackFactor"":3.361691,""relativeReattackMinDelta"":0.011755,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.305643,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.426512,""cooldownOverrideMinFlux"":0.029014,""cooldownOverrideMinBandRatio"":0.064304,""analyzeIntervalMs"":41}"
239,r010-0054-54dfb7ec,10,280,6,2,2,0,115,"{""relativeReattackFactor"":3.345906,""relativeReattackMinDelta"":0.0104,""relativeFluxFactor"":1.521084,""spectralNoveltyRatio"":3.464693,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.587171,""cooldownOverrideMinFlux"":0.02958,""cooldownOverrideMinBandRatio"":0.065998,""analyzeIntervalMs"":41}"
240,r010-0071-6c186d9a,10,280,6,2,2,0,115,"{""relativeReattackFactor"":3.355616,""relativeReattackMinDelta"":0.010843,""relativeFluxFactor"":1.532941,""spectralNoveltyRatio"":3.412,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.392265,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.068525,""analyzeIntervalMs"":41}"
241,r011-0007-f46771bf,11,280,6,2,2,0,115,"{""relativeReattackFactor"":3.350339,""relativeReattackMinDelta"":0.011628,""relativeFluxFactor"":1.435472,""spectralNoveltyRatio"":3.59255,""spectralNoveltyMinBins"":53,""cooldownFrames"":5,""cooldownOverrideFactor"":2.633424,""cooldownOverrideMinFlux"":0.029658,""cooldownOverrideMinBandRatio"":0.068627,""analyzeIntervalMs"":41}"
242,r011-0026-eb5fc4de,11,280,6,2,2,0,115,"{""relativeReattackFactor"":3.405506,""relativeReattackMinDelta"":0.01203,""relativeFluxFactor"":1.522595,""spectralNoveltyRatio"":3.376894,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.510963,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.064038,""analyzeIntervalMs"":41}"
243,r011-0032-6617262e,11,280,6,2,2,0,115,"{""relativeReattackFactor"":3.332379,""relativeReattackMinDelta"":0.011509,""relativeFluxFactor"":1.533689,""spectralNoveltyRatio"":3.631474,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.598662,""cooldownOverrideMinFlux"":0.029558,""cooldownOverrideMinBandRatio"":0.070016,""analyzeIntervalMs"":41}"
244,r011-0052-62a3c895,11,280,6,2,2,0,115,"{""relativeReattackFactor"":3.359312,""relativeReattackMinDelta"":0.011556,""relativeFluxFactor"":1.558146,""spectralNoveltyRatio"":3.662866,""spectralNoveltyMinBins"":53,""cooldownFrames"":5,""cooldownOverrideFactor"":2.672597,""cooldownOverrideMinFlux"":0.029578,""cooldownOverrideMinBandRatio"":0.065197,""analyzeIntervalMs"":41}"
245,r011-0057-e4c7f2a1,11,280,6,2,2,0,115,"{""relativeReattackFactor"":3.395389,""relativeReattackMinDelta"":0.010868,""relativeFluxFactor"":1.45548,""spectralNoveltyRatio"":3.571202,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.679052,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.065758,""analyzeIntervalMs"":41}"
246,r012-0038-119b0404,12,280,6,2,2,0,115,"{""relativeReattackFactor"":3.633134,""relativeReattackMinDelta"":0.011052,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.039756,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.641265,""cooldownOverrideMinFlux"":0.029712,""cooldownOverrideMinBandRatio"":0.07074,""analyzeIntervalMs"":41}"
247,r012-0056-449e957c,12,280,6,2,2,0,115,"{""relativeReattackFactor"":3.422654,""relativeReattackMinDelta"":0.011223,""relativeFluxFactor"":1.406332,""spectralNoveltyRatio"":3.365278,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.455988,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067213,""analyzeIntervalMs"":41}"
248,r012-0061-b23a1fe8,12,280,6,2,2,0,115,"{""relativeReattackFactor"":3.400587,""relativeReattackMinDelta"":0.011086,""relativeFluxFactor"":1.541134,""spectralNoveltyRatio"":3.425052,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.513748,""cooldownOverrideMinFlux"":0.029914,""cooldownOverrideMinBandRatio"":0.065634,""analyzeIntervalMs"":41}"
249,r012-0062-81538352,12,280,6,2,2,0,115,"{""relativeReattackFactor"":3.402936,""relativeReattackMinDelta"":0.011352,""relativeFluxFactor"":1.599303,""spectralNoveltyRatio"":3.667057,""spectralNoveltyMinBins"":54,""cooldownFrames"":5,""cooldownOverrideFactor"":2.441867,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069272,""analyzeIntervalMs"":41}"
250,r004-0046-8309d7b0,4,274,6,2,3,0,115,"{""relativeReattackFactor"":3.302849,""relativeReattackMinDelta"":0.014577,""relativeFluxFactor"":1.969989,""spectralNoveltyRatio"":2.611968,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.247722,""cooldownOverrideMinFlux"":0.029043,""cooldownOverrideMinBandRatio"":0.059032,""analyzeIntervalMs"":41}"
251,r004-0063-410b3af4,4,274,6,2,3,0,117,"{""relativeReattackFactor"":3.337038,""relativeReattackMinDelta"":0.010737,""relativeFluxFactor"":1.479636,""spectralNoveltyRatio"":2.86154,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.227531,""cooldownOverrideMinFlux"":0.027451,""cooldownOverrideMinBandRatio"":0.065524,""analyzeIntervalMs"":41}"
252,r004-0075-163072c3,4,274,6,2,3,0,114,"{""relativeReattackFactor"":3.331905,""relativeReattackMinDelta"":0.011191,""relativeFluxFactor"":1.912062,""spectralNoveltyRatio"":3.335381,""spectralNoveltyMinBins"":51,""cooldownFrames"":5,""cooldownOverrideFactor"":2.748492,""cooldownOverrideMinFlux"":0.025993,""cooldownOverrideMinBandRatio"":0.061762,""analyzeIntervalMs"":41}"
253,r004-0076-a486cbef,4,274,6,2,3,0,114,"{""relativeReattackFactor"":3.325867,""relativeReattackMinDelta"":0.012108,""relativeFluxFactor"":1.927425,""spectralNoveltyRatio"":3.318994,""spectralNoveltyMinBins"":51,""cooldownFrames"":5,""cooldownOverrideFactor"":2.348909,""cooldownOverrideMinFlux"":0.029856,""cooldownOverrideMinBandRatio"":0.06008,""analyzeIntervalMs"":41}"
254,r005-0009-4283469e,5,274,6,2,3,0,117,"{""relativeReattackFactor"":3.342404,""relativeReattackMinDelta"":0.011273,""relativeFluxFactor"":1.848928,""spectralNoveltyRatio"":2.652564,""spectralNoveltyMinBins"":43,""cooldownFrames"":5,""cooldownOverrideFactor"":2.707381,""cooldownOverrideMinFlux"":0.027944,""cooldownOverrideMinBandRatio"":0.056779,""analyzeIntervalMs"":41}"
255,r005-0013-f50d88b5,5,274,6,2,3,0,118,"{""relativeReattackFactor"":3.400759,""relativeReattackMinDelta"":0.011806,""relativeFluxFactor"":1.503513,""spectralNoveltyRatio"":2.67675,""spectralNoveltyMinBins"":48,""cooldownFrames"":5,""cooldownOverrideFactor"":2.452243,""cooldownOverrideMinFlux"":0.025917,""cooldownOverrideMinBandRatio"":0.0597,""analyzeIntervalMs"":41}"
256,r005-0024-a109e7d7,5,274,6,2,3,0,117,"{""relativeReattackFactor"":3.343529,""relativeReattackMinDelta"":0.011414,""relativeFluxFactor"":1.89808,""spectralNoveltyRatio"":2.588049,""spectralNoveltyMinBins"":43,""cooldownFrames"":5,""cooldownOverrideFactor"":2.468678,""cooldownOverrideMinFlux"":0.029673,""cooldownOverrideMinBandRatio"":0.06005,""analyzeIntervalMs"":41}"
257,r005-0043-251589bb,5,274,6,2,3,0,118,"{""relativeReattackFactor"":3.346388,""relativeReattackMinDelta"":0.012071,""relativeFluxFactor"":1.560416,""spectralNoveltyRatio"":2.730242,""spectralNoveltyMinBins"":46,""cooldownFrames"":5,""cooldownOverrideFactor"":2.169999,""cooldownOverrideMinFlux"":0.026847,""cooldownOverrideMinBandRatio"":0.061796,""analyzeIntervalMs"":41}"
258,r005-0053-7536a811,5,274,6,2,3,0,116,"{""relativeReattackFactor"":3.405604,""relativeReattackMinDelta"":0.013177,""relativeFluxFactor"":1.891067,""spectralNoveltyRatio"":2.686223,""spectralNoveltyMinBins"":47,""cooldownFrames"":5,""cooldownOverrideFactor"":2.465617,""cooldownOverrideMinFlux"":0.028947,""cooldownOverrideMinBandRatio"":0.063292,""analyzeIntervalMs"":41}"
259,r005-0061-e666c256,5,274,6,2,3,0,115,"{""relativeReattackFactor"":3.375968,""relativeReattackMinDelta"":0.013211,""relativeFluxFactor"":1.843252,""spectralNoveltyRatio"":2.929188,""spectralNoveltyMinBins"":50,""cooldownFrames"":5,""cooldownOverrideFactor"":2.280559,""cooldownOverrideMinFlux"":0.027998,""cooldownOverrideMinBandRatio"":0.057667,""analyzeIntervalMs"":41}"
260,r006-0005-8e88163e,6,274,6,2,3,0,118,"{""relativeReattackFactor"":3.334919,""relativeReattackMinDelta"":0.012018,""relativeFluxFactor"":1.657262,""spectralNoveltyRatio"":2.882921,""spectralNoveltyMinBins"":45,""cooldownFrames"":5,""cooldownOverrideFactor"":2.776875,""cooldownOverrideMinFlux"":0.029627,""cooldownOverrideMinBandRatio"":0.057133,""analyzeIntervalMs"":41}"
261,r006-0030-87f52f96,6,274,6,2,3,0,116,"{""relativeReattackFactor"":3.332982,""relativeReattackMinDelta"":0.012288,""relativeFluxFactor"":1.850315,""spectralNoveltyRatio"":2.461417,""spectralNoveltyMinBins"":49,""cooldownFrames"":5,""cooldownOverrideFactor"":2.540878,""cooldownOverrideMinFlux"":0.028089,""cooldownOverrideMinBandRatio"":0.060622,""analyzeIntervalMs"":41}"
262,r006-0040-b52f0547,6,274,6,2,3,0,116,"{""relativeReattackFactor"":3.40019,""relativeReattackMinDelta"":0.012847,""relativeFluxFactor"":1.846695,""spectralNoveltyRatio"":2.813827,""spectralNoveltyMinBins"":45,""cooldownFrames"":5,""cooldownOverrideFactor"":2.553989,""cooldownOverrideMinFlux"":0.027435,""cooldownOverrideMinBandRatio"":0.056658,""analyzeIntervalMs"":41}"
